F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
261,531,338,-163,1076,696,1166,400,268,870,-981,849,514,291
261,534,333,-158,1064,700,1169,396,260,821,-982,850,516,297
259,538,330,-159,1060,694,1170,398,255,814,-986,850,519,296
257,536,329,-165,1072,689,1164,399,250,794,-981,853,520,292
259,538,333,-166,1070,677,1158,397,236,734,-973,861,521,301
257,539,334,-163,1071,667,1152,397,237,735,-979,860,521,306
258,539,330,-163,1079,678,1152,397,260,800,-984,856,517,304
263,540,334,-165,1032,690,1158,397,276,842,-977,862,514,303
260,539,338,-165,997,690,1162,398,268,821,-975,861,517,298
259,537,336,-161,1046,680,1164,399,252,773,-979,853,523,299
258,539,333,-155,1120,674,1159,394,241,776,-978,852,520,304
257,542,335,-158,1095,682,1162,393,242,780,-976,857,514,304
264,547,336,-163,988,685,1164,399,244,683,-974,860,518,303
265,544,336,-165,990,678,1143,402,234,652,-975,859,526,303
262,541,339,-158,1087,683,1124,400,229,774,-977,858,524,303
266,542,338,-156,1049,691,1141,396,232,813,-975,857,522,307
267,541,335,-163,918,682,1156,396,234,740,-976,860,524,309
266,541,338,-163,967,668,1143,399,226,762,-980,865,522,305
266,539,340,-158,1115,660,1128,398,209,824,-978,863,516,302
261,538,337,-156,1108,660,1134,397,207,762,-974,861,517,305
261,544,332,-158,1016,665,1149,398,223,685,-977,865,522,307
263,542,329,-161,997,660,1156,397,225,729,-982,865,523,302
259,536,334,-161,1036,661,1158,396,213,827,-977,860,522,302
259,539,336,-163,1065,669,1159,396,211,794,-977,856,527,305
261,544,330,-165,1043,665,1158,397,214,679,-982,861,528,306
256,539,328,-167,948,664,1161,399,227,699,-980,865,521,308
254,535,333,-171,888,668,1163,401,238,767,-977,863,520,307
261,540,338,-168,1004,670,1148,400,236,736,-977,860,525,306
258,537,332,-164,1112,679,1129,398,229,668,-972,864,524,312
250,530,328,-167,1005,690,1129,394,229,683,-969,867,520,313
253,534,331,-167,935,679,1136,391,231,770,-977,862,520,311
252,538,330,-162,1047,662,1129,395,215,776,-980,857,522,314
253,535,329,-162,1084,657,1125,400,195,716,-977,862,524,312
256,534,328,-172,963,653,1140,400,218,718,-978,863,525,308
253,534,328,-173,915,655,1150,396,258,760,-980,860,526,310
253,534,330,-162,1022,658,1138,396,238,780,-978,862,524,307
255,536,329,-162,1068,653,1124,398,199,796,-977,865,520,302
259,535,328,-171,990,657,1143,398,212,780,-976,868,521,307
254,531,327,-171,968,664,1165,396,221,681,-977,868,527,308
245,532,325,-167,1026,662,1152,395,210,612,-980,862,526,298
247,534,326,-170,1005,658,1133,397,223,726,-979,861,519,303
248,531,325,-171,937,659,1131,396,232,867,-973,862,518,311
245,527,323,-169,939,659,1133,396,204,767,-976,856,519,307
247,527,325,-172,959,659,1134,400,183,595,-977,855,516,304
250,531,325,-174,995,662,1135,401,188,663,-972,862,518,307
251,531,326,-170,1037,660,1130,402,191,779,-974,865,522,308
249,530,330,-171,975,651,1138,399,185,659,-980,863,525,306
249,534,331,-178,910,647,1161,393,194,574,-976,864,527,303
255,535,332,-177,979,661,1169,393,217,727,-968,865,526,304
258,531,329,-168,1020,659,1159,402,219,817,-973,858,520,302
254,534,328,-164,939,644,1154,405,209,736,-977,860,522,305
253,538,335,-167,923,651,1167,397,221,694,-973,866,523,307
257,534,334,-169,981,664,1168,395,225,691,-976,867,519,302
258,535,330,-163,991,660,1147,401,202,652,-982,864,521,304
256,538,331,-161,1006,662,1146,399,192,676,-977,860,526,311
259,536,335,-167,1010,671,1165,397,202,720,-971,861,523,311
259,535,336,-168,958,681,1167,399,215,688,-980,864,523,306
256,535,330,-163,969,687,1157,399,230,711,-981,860,525,303
258,539,331,-161,1025,676,1154,401,233,805,-973,856,520,304
257,538,334,-165,1004,654,1152,401,216,818,-974,856,518,300
253,530,333,-166,958,631,1150,394,196,729,-977,856,525,294
255,531,330,-164,975,625,1152,392,194,702,-978,853,526,293
255,537,330,-166,997,642,1158,399,214,752,-980,852,523,296
255,539,334,-168,995,649,1173,398,232,738,-978,853,521,296
253,533,330,-170,980,629,1167,396,231,691,-975,849,519,289
254,533,329,-170,946,618,1136,400,223,689,-984,846,518,287
256,537,335,-168,951,629,1138,396,228,757,-987,850,518,292
255,534,331,-169,970,628,1156,388,238,824,-979,849,514,290
257,531,328,-172,934,610,1143,393,229,782,-981,844,509,283
260,533,332,-169,884,607,1136,399,223,753,-987,840,510,283
256,534,334,-165,899,619,1152,394,234,821,-987,837,512,284
254,529,333,-165,963,630,1144,394,228,838,-983,838,511,278
255,531,330,-166,950,625,1126,398,215,770,-984,840,512,269
260,539,327,-165,895,609,1131,392,221,716,-989,835,514,269
265,539,332,-165,924,606,1138,390,214,719,-989,835,514,271
258,534,333,-167,955,616,1150,396,206,754,-987,839,513,267
260,537,332,-168,893,629,1167,392,223,711,-984,830,514,265
268,539,336,-168,866,636,1166,387,237,681,-985,826,512,262
267,535,336,-166,933,638,1164,393,244,834,-987,836,512,264
262,538,331,-166,966,643,1165,398,262,936,-987,837,514,267
266,541,335,-165,932,646,1160,394,273,807,-986,826,513,265
274,538,345,-158,872,640,1163,390,268,694,-987,826,512,263
271,535,340,-155,861,629,1168,391,252,685,-986,828,514,264
271,537,332,-157,928,626,1156,393,235,700,-987,830,515,266
276,543,337,-157,945,630,1144,394,239,763,-989,833,515,265
273,541,340,-160,878,623,1155,391,254,764,-984,834,515,266
272,541,340,-162,876,607,1163,392,256,707,-984,834,511,264
273,542,342,-157,921,608,1160,396,254,749,-990,832,506,261
272,541,343,-159,879,623,1167,394,260,765,-990,832,511,262
272,546,341,-164,888,623,1171,393,259,689,-990,832,513,266
270,549,339,-157,947,611,1163,385,249,691,-991,828,507,265
273,545,343,-155,865,601,1165,377,251,749,-988,829,508,258
275,542,342,-163,824,592,1158,385,253,718,-987,832,514,261
274,541,339,-164,916,593,1132,393,242,673,-989,827,517,266
279,542,341,-156,898,596,1124,390,244,724,-990,826,513,261
279,544,341,-159,825,591,1136,387,257,788,-992,829,509,255
274,543,342,-160,902,598,1136,391,249,752,-991,823,510,261
273,536,343,-152,954,608,1142,394,231,668,-987,824,510,266
269,534,335,-151,852,591,1155,389,232,654,-991,827,506,255
265,539,337,-159,790,575,1144,383,246,712,-991,822,509,255
270,539,345,-158,877,582,1129,384,242,712,-982,820,516,259
277,539,341,-150,952,585,1132,394,216,665,-984,826,512,250
282,541,337,-155,878,572,1136,395,223,720,-995,830,505,252
279,543,345,-162,849,558,1132,388,251,767,-993,826,509,257
274,546,349,-158,906,550,1132,384,239,649,-986,824,514,254
271,544,342,-158,883,555,1146,391,230,639,-990,822,510,255
272,541,339,-162,860,559,1156,398,266,790,-993,819,508,260
278,548,343,-159,888,548,1150,396,289,794,-987,819,511,257
279,551,340,-157,876,530,1132,389,268,727,-990,822,509,254
278,540,338,-156,854,520,1121,386,238,716,-997,824,507,259
277,534,341,-154,850,522,1124,392,229,670,-991,823,508,256
276,543,343,-158,839,537,1126,390,234,706,-986,824,507,248
277,548,343,-159,892,542,1120,382,235,807,-993,825,509,252
276,543,339,-154,956,537,1119,385,228,710,-994,821,514,254
274,545,340,-153,887,540,1128,390,233,603,-988,822,507,248
273,552,342,-159,799,538,1131,386,244,677,-990,826,504,251
271,547,339,-161,826,535,1130,383,250,718,-990,822,509,254
272,542,339,-158,883,538,1133,387,251,688,-986,824,511,251
273,546,343,-159,856,534,1129,393,242,719,-988,829,509,253
281,546,348,-159,827,531,1126,393,232,789,-990,826,510,265
284,546,345,-158,870,530,1129,390,233,794,-988,824,512,267
276,551,338,-159,894,533,1132,390,236,734,-990,826,515,261
276,549,339,-160,875,536,1129,393,231,657,-992,833,516,263
280,545,342,-160,860,536,1130,392,222,621,-990,832,507,264
273,552,342,-160,830,535,1128,393,213,638,-988,828,506,263
267,548,341,-158,818,536,1109,392,193,667,-991,832,516,263
269,538,338,-159,860,535,1095,389,173,688,-993,832,515,263
271,544,341,-156,903,534,1103,395,160,629,-991,825,511,261
267,547,344,-152,895,535,1109,399,163,570,-990,823,511,261
269,540,341,-157,842,526,1106,393,187,627,-988,829,509,267
272,539,340,-161,814,522,1109,389,194,622,-985,831,509,265
268,540,340,-160,855,531,1108,394,178,534,-987,832,515,260
266,540,340,-157,899,537,1098,395,180,642,-989,834,514,266
266,542,336,-160,876,535,1099,394,188,771,-984,831,510,267
263,539,334,-160,845,532,1099,396,171,613,-983,833,512,261
263,536,336,-158,862,546,1098,397,162,496,-988,836,513,267
267,542,338,-164,888,563,1112,395,172,620,-987,833,514,271
268,543,337,-166,884,552,1123,385,172,703,-984,834,518,266
261,541,338,-159,852,532,1111,384,166,650,-988,836,518,266
256,541,339,-164,841,533,1096,398,161,550,-990,833,514,270
261,537,335,-168,863,540,1102,398,157,531,-982,834,515,269
258,532,326,-165,834,537,1125,386,165,645,-979,839,518,267
253,538,326,-168,791,527,1126,389,166,656,-985,837,516,271
257,540,333,-171,824,525,1112,392,165,526,-986,834,516,272
256,533,328,-169,877,525,1116,385,192,557,-983,833,517,267
252,532,327,-168,863,515,1118,392,217,720,-984,836,512,268
255,535,334,-168,835,498,1098,400,193,690,-988,842,511,271
259,536,337,-167,838,489,1095,392,160,523,-986,841,519,272
257,533,329,-170,828,494,1113,382,168,486,-985,839,520,272
252,528,325,-171,841,506,1107,386,187,586,-986,845,514,269
254,531,328,-167,896,502,1097,396,175,670,-981,847,513,273
256,534,329,-171,904,495,1097,400,171,679,-981,838,515,279
250,531,325,-175,823,496,1104,396,193,619,-985,838,513,274
248,532,328,-170,779,489,1107,391,197,544,-986,846,513,271
252,533,328,-168,885,475,1101,394,182,576,-986,841,514,269
260,536,328,-168,946,476,1096,398,184,704,-983,835,516,271
263,540,335,-164,811,488,1102,390,196,789,-980,841,517,283
263,538,339,-165,744,492,1101,386,182,668,-984,847,516,283
267,537,336,-166,859,480,1088,395,144,462,-988,844,519,274
268,541,336,-162,897,466,1087,400,136,524,-983,839,520,277
268,545,340,-158,829,467,1092,394,162,717,-983,838,511,281
272,546,343,-158,833,470,1090,395,162,723,-988,839,508,277
272,542,342,-160,853,460,1086,401,132,626,-981,842,518,275
278,545,345,-158,819,461,1081,400,122,537,-974,842,520,279
283,555,347,-156,818,467,1074,394,133,505,-982,835,515,278
275,552,347,-157,852,464,1074,394,145,670,-985,835,515,277
273,545,347,-162,834,465,1087,397,166,845,-982,843,515,278
280,547,346,-158,799,475,1101,399,172,705,-987,840,514,279
285,550,345,-152,818,479,1106,398,159,525,-989,833,514,280
281,548,345,-157,832,484,1109,395,160,595,-984,838,508,279
276,546,344,-162,806,489,1115,395,171,688,-985,839,507,276
277,548,346,-155,851,487,1107,399,152,637,-990,834,516,277
279,544,345,-155,910,484,1094,400,132,632,-990,836,517,279
278,543,345,-162,834,471,1099,399,149,744,-986,842,513,278
274,548,344,-158,747,452,1100,397,157,667,-985,842,512,280
273,547,341,-153,772,459,1094,395,149,523,-982,837,512,282
272,541,342,-156,805,476,1096,397,158,619,-977,842,515,280
269,543,339,-159,827,474,1098,397,163,728,-980,845,515,279
271,548,338,-159,881,466,1095,396,156,739,-985,842,513,279
271,541,342,-160,884,466,1097,398,151,719,-984,843,515,278
266,537,341,-165,832,465,1100,398,149,641,-980,849,517,275
269,541,342,-168,845,465,1103,397,154,655,-982,850,516,282
271,543,338,-168,869,468,1108,398,169,739,-984,846,517,288
267,542,333,-166,809,471,1108,396,170,646,-984,848,516,282
264,543,339,-165,782,470,1108,395,175,600,-986,849,512,279
260,545,341,-167,845,459,1108,401,194,806,-988,845,513,287
262,547,336,-167,867,451,1105,401,178,802,-982,848,516,289
263,544,334,-167,855,458,1100,393,159,588,-980,849,515,278
260,541,333,-167,856,465,1097,393,173,638,-986,847,518,278
265,540,333,-168,829,460,1102,394,175,754,-987,846,520,284
266,542,338,-168,818,465,1098,390,148,642,-981,845,515,281
262,544,340,-166,871,477,1079,390,138,578,-977,845,513,281
264,540,334,-162,894,474,1066,395,138,711,-982,848,518,284
267,534,337,-159,830,471,1071,395,126,729,-988,848,518,283
267,537,345,-161,800,482,1081,396,133,571,-983,844,515,281
267,542,342,-163,837,482,1077,397,149,566,-979,839,515,277
271,543,336,-163,839,459,1062,398,137,668,-983,843,516,275
270,538,336,-165,801,454,1056,397,116,663,-985,850,519,283
270,534,337,-168,812,467,1058,394,116,611,-981,846,520,287
273,538,334,-163,853,452,1061,394,131,590,-982,838,518,282
267,539,329,-159,851,444,1067,397,145,611,-986,837,517,278
262,538,330,-161,820,468,1071,395,148,649,-985,842,516,279
266,542,337,-164,787,479,1083,391,130,608,-981,845,514,283
266,543,336,-166,775,473,1091,392,114,541,-981,844,515,282
265,543,334,-163,827,484,1081,397,124,593,-984,843,518,279
264,545,336,-165,882,496,1080,397,144,621,-984,842,517,281
263,542,338,-167,829,502,1094,390,162,565,-982,844,514,285
264,540,337,-160,776,507,1089,391,189,627,-981,846,516,281
263,542,332,-159,835,505,1076,394,208,704,-984,844,520,277
262,542,339,-161,879,502,1072,389,202,618,-988,843,521,275
261,540,341,-162,814,499,1082,387,207,555,-985,842,519,275
264,541,333,-167,801,503,1100,395,219,648,-982,836,517,279
265,539,334,-168,867,508,1098,397,203,706,-984,839,515,281
261,533,342,-161,825,494,1075,394,177,588,-985,840,510,278
266,536,341,-161,748,470,1070,395,186,531,-981,839,510,279
268,542,334,-166,791,473,1090,392,215,647,-982,841,516,277
261,544,334,-161,868,490,1096,391,218,698,-984,840,518,274
267,541,337,-159,837,499,1087,395,219,650,-985,841,515,274
271,536,335,-165,777,504,1091,395,236,646,-985,842,513,269
264,542,340,-164,803,497,1101,394,238,655,-983,842,516,272
260,545,341,-162,858,486,1103,396,215,628,-983,839,517,276
261,537,334,-167,843,487,1103,388,199,648,-988,841,517,272
262,532,337,-164,783,482,1098,380,192,658,-987,839,517,271
263,536,341,-158,771,475,1083,390,186,587,-985,836,514,271
265,541,335,-162,805,471,1079,398,187,565,-988,843,513,272
268,544,333,-168,828,460,1075,394,190,651,-987,839,514,274
271,545,336,-167,815,458,1066,394,191,694,-987,832,513,272
269,540,339,-162,781,478,1079,397,191,580,-989,836,513,272
263,540,336,-159,779,475,1097,397,200,531,-987,839,512,274
262,544,336,-163,818,459,1105,397,227,647,-988,835,510,272
268,541,336,-164,826,458,1104,395,245,692,-992,837,516,270
266,535,334,-161,789,454,1103,393,240,644,-986,836,521,272
265,539,341,-159,818,452,1101,397,229,648,-981,835,516,273
269,542,346,-158,851,464,1103,397,220,622,-985,839,514,270
268,538,340,-160,796,472,1111,392,202,518,-984,838,517,267
269,542,338,-163,771,471,1115,398,197,538,-983,835,515,270
273,546,342,-163,828,474,1115,402,215,652,-988,837,513,275
277,542,342,-162,844,466,1109,394,225,660,-989,840,511,273
273,542,340,-164,796,452,1103,392,217,592,-985,840,509,268
268,544,337,-165,772,448,1098,396,207,543,-983,838,513,270
272,543,342,-160,760,443,1096,394,204,584,-986,836,517,272
273,541,341,-160,756,448,1101,393,218,636,-988,836,514,268
271,542,336,-164,789,466,1106,395,218,551,-988,838,512,271
269,542,338,-160,833,460,1101,393,197,517,-987,839,512,274
265,540,341,-154,845,439,1096,391,187,659,-986,835,510,273
268,542,341,-155,793,445,1105,393,198,693,-986,837,513,271
272,544,339,-162,768,470,1120,396,208,578,-986,842,516,268
271,544,343,-163,815,474,1129,396,214,594,-984,842,515,267
270,546,343,-160,815,467,1132,390,230,732,-985,836,514,271
266,544,339,-160,771,454,1122,383,235,752,-987,834,515,271
268,541,341,-161,781,448,1117,388,222,568,-985,835,516,268
273,542,343,-161,799,455,1123,396,238,540,-984,835,513,266
270,543,345,-160,754,453,1115,394,286,830,-985,834,511,266
269,543,347,-158,742,455,1110,393,305,934,-982,835,511,271
279,543,344,-161,784,473,1126,395,284,763,-985,831,512,277
280,543,343,-162,774,472,1137,396,270,769,-992,832,512,274
270,543,344,-159,755,463,1148,396,267,863,-989,837,510,268
270,545,341,-156,812,471,1159,394,257,738,-987,833,508,269
275,547,343,-156,844,470,1148,396,255,650,-990,830,511,268
271,547,343,-161,764,463,1125,398,280,764,-988,832,515,265
270,546,337,-159,727,476,1114,394,313,867,-986,831,513,269
275,544,338,-155,800,481,1110,393,320,869,-988,831,509,271
277,543,343,-159,805,475,1106,391,300,753,-990,833,509,267
277,547,344,-162,745,476,1097,385,283,681,-988,830,511,268
272,546,343,-158,790,474,1098,388,284,780,-985,828,512,268
270,543,341,-155,858,471,1121,397,295,862,-986,833,512,260
270,546,342,-155,790,477,1149,393,288,742,-986,835,514,260
267,548,343,-158,706,478,1163,388,280,654,-983,831,513,265
269,543,340,-160,752,474,1152,392,287,810,-987,829,510,268
273,539,337,-159,818,485,1134,394,278,853,-992,830,512,267
272,542,340,-161,778,497,1132,396,259,659,-989,831,517,267
271,542,339,-162,749,493,1123,399,246,605,-984,829,513,270
269,539,334,-161,799,496,1115,394,236,758,-988,827,508,269
270,545,339,-162,841,512,1127,392,234,789,-991,828,511,265
270,548,343,-162,829,515,1131,393,233,633,-991,833,514,265
271,545,342,-158,803,503,1135,395,231,630,-989,837,510,268
278,545,344,-157,813,509,1166,393,244,754,-990,838,508,271
277,545,342,-158,836,523,1174,389,257,735,-991,837,513,267
275,544,344,-153,829,518,1141,388,251,723,-984,835,512,266
