F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
258,534,329,-141,744,438,1136,392,196,623,-987,832,516,273
260,540,333,-139,745,461,1152,395,250,622,-985,832,521,273
259,541,333,-138,751,474,1176,394,304,623,-990,837,516,271
260,539,334,-140,755,474,1195,391,324,625,-991,836,512,270
259,536,337,-140,755,494,1198,396,333,627,-988,830,516,270
259,530,338,-139,750,500,1194,398,334,624,-987,829,518,269
262,533,334,-140,747,479,1189,397,317,623,-990,833,516,266
257,543,335,-138,748,475,1181,395,303,624,-989,833,513,265
254,542,336,-135,748,484,1157,392,295,625,-987,829,514,265
264,540,331,-139,749,471,1135,393,276,624,-990,828,516,264
265,541,330,-142,752,455,1130,399,254,624,-991,832,517,266
259,537,336,-141,755,456,1132,399,240,624,-981,837,515,272
258,538,337,-142,751,458,1132,393,224,624,-978,838,515,273
259,542,331,-145,747,449,1126,388,204,624,-989,837,519,270
263,540,331,-142,747,437,1123,390,194,624,-986,839,518,269
268,534,332,-137,750,453,1144,394,215,624,-980,840,517,270
265,536,331,-137,752,473,1172,395,251,624,-986,836,517,269
262,541,335,-143,752,472,1175,396,270,624,-988,832,513,270
264,540,340,-145,750,468,1167,404,279,624,-984,832,511,272
261,537,340,-141,747,471,1162,408,281,624,-988,834,515,268
258,539,334,-140,748,475,1145,401,279,622,-991,837,517,264
259,541,332,-140,752,463,1117,391,268,622,-988,838,517,268
263,538,334,-139,752,441,1099,390,244,623,-992,839,518,271
267,538,334,-140,749,433,1092,398,208,622,-995,838,518,268
261,541,332,-139,750,439,1093,399,183,622,-987,837,516,266
257,540,331,-138,750,441,1094,392,175,623,-984,835,518,269
262,539,332,-141,747,435,1098,391,181,623,-988,837,520,271
266,538,331,-141,745,440,1122,394,193,622,-987,839,518,270
262,541,335,-137,745,449,1143,393,207,623,-984,837,516,269
265,543,340,-141,747,454,1143,392,231,625,-985,834,522,269
269,541,338,-145,750,464,1151,395,260,624,-988,833,521,269
262,540,336,-143,753,476,1163,396,280,622,-990,831,519,271
257,541,336,-142,754,469,1138,392,278,622,-985,834,524,274
261,539,333,-141,751,452,1102,388,265,623,-982,838,518,269
263,536,332,-138,747,446,1094,392,258,622,-986,834,509,265
261,537,337,-140,748,439,1081,401,237,623,-984,835,515,269
262,537,339,-144,751,430,1070,408,208,625,-986,839,525,267
261,535,334,-141,751,435,1083,406,205,624,-996,835,523,263
258,537,334,-134,750,449,1096,396,215,624,-995,833,518,267
262,540,336,-135,750,464,1106,393,210,626,-985,837,515,269
266,541,330,-136,750,479,1130,393,218,627,-983,839,514,268
262,539,328,-136,748,480,1152,394,251,626,-986,835,517,271
262,539,341,-141,748,477,1167,396,283,626,-987,830,518,272
265,538,344,-144,749,482,1183,395,303,626,-989,836,516,269
263,533,334,-137,745,472,1183,394,293,626,-990,845,516,269
259,533,335,-137,746,445,1152,395,250,624,-986,839,517,269
261,541,340,-140,752,435,1115,394,217,622,-986,832,517,267
267,543,336,-139,752,440,1094,397,205,622,-992,838,517,264
269,538,333,-141,747,441,1088,403,198,623,-992,840,517,265
265,541,335,-142,747,455,1097,396,216,622,-986,835,515,267
264,547,335,-136,751,485,1126,387,267,622,-989,834,515,268
266,544,332,-135,748,486,1155,390,284,622,-990,836,518,274
262,537,332,-140,744,469,1167,397,250,622,-986,834,519,273
261,536,335,-143,745,484,1170,395,251,623,-987,832,516,269
265,538,339,-141,748,500,1170,393,279,622,-988,834,515,270
266,536,338,-140,746,480,1168,394,272,622,-987,836,518,267
266,535,334,-141,746,472,1165,395,254,623,-989,838,522,262
265,541,334,-140,746,497,1165,399,263,624,-989,838,521,268
265,543,337,-139,746,509,1173,403,278,624,-986,837,518,268
266,538,338,-137,750,493,1175,402,283,627,-985,837,521,265
266,541,334,-135,745,476,1152,394,270,629,-987,838,521,267
263,547,328,-136,742,468,1126,390,239,627,-991,838,517,267
260,543,332,-136,750,472,1120,396,215,625,-988,838,518,267
263,538,343,-136,754,472,1122,402,204,626,-983,836,521,270
263,538,340,-137,750,466,1130,401,204,626,-983,832,515,269
261,538,334,-140,750,475,1153,396,219,626,-987,833,510,270
264,539,337,-139,752,497,1185,393,248,626,-990,837,517,273
269,542,338,-138,750,509,1204,391,286,626,-991,839,518,269
268,540,336,-137,750,503,1202,393,300,626,-991,838,513,268
267,539,337,-137,749,498,1197,398,285,626,-988,831,518,272
267,544,335,-141,745,501,1192,394,287,626,-985,831,522,270
267,544,331,-142,747,489,1166,392,286,624,-988,839,515,268
266,543,334,-140,752,469,1131,401,242,624,-989,836,514,269
263,541,338,-138,747,474,1120,403,201,625,-987,830,520,267
266,540,341,-136,740,496,1126,397,211,626,-985,836,515,268
272,538,340,-138,745,504,1129,400,234,626,-984,840,514,273
271,540,337,-140,750,495,1128,404,241,623,-988,836,519,270
265,541,337,-138,746,481,1141,395,239,623,-989,837,512,265
260,539,337,-136,745,481,1161,387,241,625,-987,840,507,266
264,537,335,-141,750,496,1170,397,254,626,-990,835,516,268
271,538,334,-142,749,505,1175,404,269,625,-988,836,520,271
264,541,340,-137,750,501,1190,400,287,626,-978,842,515,273
259,538,341,-138,752,500,1200,399,305,626,-982,839,517,269
267,536,334,-138,750,506,1200,398,304,626,-991,835,519,273
270,537,335,-137,750,497,1181,393,285,626,-986,837,516,280
264,538,339,-139,755,475,1141,397,250,626,-984,839,514,271
265,537,335,-139,755,461,1122,398,213,626,-991,837,516,259
265,539,332,-137,748,469,1128,388,211,626,-991,841,519,265
267,542,334,-140,749,475,1127,386,239,626,-986,840,518,274
272,542,336,-142,753,477,1125,396,247,626,-989,835,515,272
266,542,339,-140,747,489,1140,397,244,626,-990,836,516,267
261,540,343,-137,744,500,1159,397,259,626,-981,839,516,272
263,538,339,-139,747,505,1166,400,268,626,-984,837,516,276
266,540,335,-142,748,508,1167,396,263,626,-990,836,518,269
265,540,340,-139,749,504,1169,397,264,626,-985,839,517,263
265,540,339,-138,751,492,1168,399,269,625,-982,840,516,269
266,544,331,-142,748,479,1161,392,274,626,-986,837,515,272
268,545,332,-138,745,473,1157,390,279,626,-985,835,513,267
269,541,339,-136,747,473,1158,401,270,623,-985,832,514,270
267,540,338,-142,745,471,1158,403,259,623,-990,833,519,275
266,543,336,-141,749,479,1158,392,275,626,-989,839,522,269
264,543,336,-137,757,503,1165,388,294,624,-985,837,520,263
263,542,336,-138,752,505,1159,396,288,622,-987,832,516,266
263,542,333,-137,745,480,1137,404,263,624,-987,834,517,270
260,539,332,-138,748,470,1127,401,247,625,-985,838,518,267
260,535,335,-143,754,477,1128,394,248,624,-984,836,516,265
268,537,337,-145,756,473,1132,394,247,626,-986,833,514,267
271,538,335,-141,752,478,1144,395,243,625,-987,834,517,267
264,536,336,-137,747,500,1144,392,265,624,-985,835,519,267
261,540,338,-138,748,500,1126,392,278,624,-985,836,518,264
261,543,335,-138,749,477,1122,393,238,624,-987,837,518,266
260,540,336,-134,746,472,1132,392,213,624,-983,836,520,269
265,535,337,-135,750,478,1139,395,225,624,-980,835,517,267
270,539,333,-140,756,473,1140,396,222,624,-985,837,518,268
268,548,336,-137,751,478,1135,393,216,624,-986,839,523,270
263,547,341,-137,746,495,1139,393,232,624,-981,836,516,269
264,540,337,-140,751,500,1157,389,247,624,-985,836,510,267
267,540,332,-136,751,501,1180,389,261,624,-991,841,517,268
265,542,336,-135,751,506,1192,400,278,624,-988,839,519,268
266,538,340,-139,750,496,1179,401,268,624,-986,837,514,268
267,539,338,-138,748,478,1155,390,248,624,-992,838,516,270
267,540,338,-136,748,476,1141,397,255,624,-992,839,519,267
267,538,341,-136,752,481,1137,406,274,624,-983,836,521,267
267,542,339,-139,753,485,1129,400,276,624,-982,835,521,269
265,546,340,-140,746,497,1130,395,290,624,-985,838,517,267
265,546,342,-139,743,515,1148,396,325,624,-982,834,516,262
268,546,338,-138,747,519,1156,395,330,624,-982,830,519,264
266,546,338,-137,752,509,1150,394,297,624,-987,835,519,272
262,546,340,-140,748,505,1157,394,280,624,-989,841,519,275
264,542,337,-142,747,504,1172,391,284,624,-986,836,517,271
264,538,331,-137,748,499,1164,391,278,624,-985,831,516,270
263,538,333,-134,745,497,1157,397,272,628,-985,836,520,270
263,543,339,-136,748,496,1167,401,267,629,-989,839,523,270
